Bezeichnung,Nummer
Banane,1
Gurke,2
Bund Möhre,116
Hokkaido,34
Tomate,8
Apfel,21
Elstar,20
Galiamelone,89
Honigmelone,29
Wassermelone,284
Ingwer,107
Bio-Gurke,137
Tomate,8
Paprika Rot,101
Lauchzwiebeln,35
Porree,152
Staudensellerie,64
Fenchel,999
Radieschen,59
Blumenkohl,88
Kohlrabi,45
Weißkohl,52
Knollensellerie,179
Aubergine,206
Zucchini,31
Bio-Zucchini,174
Speisekürbis Butternut,27
Bio Hokkaido,34
Süßkartoffel,196
Ananas,38
Äpfel Pink-Lady,10
Avocados,24
Bio Bananen,175
Birne,77
Blattclementienen,78
Granatapfel,72
Grapefruit,182
Kiwi,87
Kiwi Gold,57
Mango,60
Orangen,138
Pfirsich,23
Cantaloupe-Melone,79
Apfelecke,4534
Vanille-Knusperstange,4533
Blätterteig-Kirschkissen,4535
Donut,4537
Buttercroissant,4514
Butterlaugenecke,4513
Laugenzopf mit Käse, 4524
Käsetwister,4525
Pizzasnack,4527
Laugenbrezel,4531
Brioche-Knoten,4526
Käse-Zwiebel-Brötchen,4509
Senner-Fladen,4512
Kürbiskern-Kartoffelbrötchen,4507